6037|Los Angeles County, CA
6087|Santa Cruz County, CA
9007|Middlesex County, CT
12031|Duval County, FL
12057|Hillsborough County, FL
12103|Pinellas County, FL
12113|Santa Rosa County, FL
12127|Volusia County, FL
13029|Bryan County, GA
13039|Camden County, GA
13191|McIntosh County, GA
22051|Jefferson Parish, LA
22103|St. Tammany Parish, LA
22109|Terrebonne Parish, LA
22113|Vermilion Parish, LA
23031|York County, ME
24015|Cecil County, MD
24025|Harford County, MD
24039|Somerset County, MD
25005|Bristol County, MA
33015|Rockingham County, NH
34005|Burlington County, NJ
34025|Monmouth County, NJ
36061|New York County, NY
36103|Suffolk County, NY
37103|Jones County, NC
37133|Onslow County, NC
37141|Pender County, NC
41019|Douglas County, OR
41039|Lane County, OR
42045|Delaware County, PA
45051|Horry County, SC
48071|Chambers County, TX
48239|Jackson County, TX
48409|San Patricio County, TX
51099|King George County, VA
53009|Clallam County, WA
53031|Jefferson County, WA
53045|Mason County, WA
53061|Snohomish County, WA
6045|Mendocino County, CA
6055|Napa County, CA
6059|Orange County, CA
6081|San Mateo County, CA
6095|Solano County, CA
22045|Iberia Parish, LA
22101|St. Mary Parish, LA
23027|Waldo County, ME
24005|Baltimore County, MD
24011|Caroline County, MD
24047|Worcester County, MD
25001|Barnstable County, MA
9001|Fairfield County, CT
9009|New Haven County, CT
9011|New London County, CT
10003|New Castle County, DE
12017|Citrus County, FL
12045|Gulf County, FL
12065|Jefferson County, FL
13127|Glynn County, GA
13179|Liberty County, GA
37029|Camden County, NC
37049|Craven County, NC
37055|Dare County, NC
37095|Hyde County, NC
37129|New Hanover County, NC
37139|Pasquotank County, NC
25021|Norfolk County, MA
25023|Plymouth County, MA
34009|Cape May County, NJ
34023|Middlesex County, NJ
34033|Salem County, NJ
48167|Galveston County, TX
48261|Kenedy County, TX
51001|Accomack County, VA
51057|Essex County, VA
51131|Northampton County, VA
53049|Pacific County, WA
53057|Skagit County, WA
41007|Clatsop County, OR
44009|Washington County, RI
45013|Beaufort County, SC
45019|Charleston County, SC
45029|Colleton County, SC
45043|Georgetown County, SC
45053|Jasper County, SC
48057|Calhoun County, TX
1003|Baldwin County, AL
1097|Mobile County, AL
6001|Alameda County, CA
6013|Contra Costa County, CA
6023|Humboldt County, CA
6073|San Diego County, CA
6079|San Luis Obispo County, CA
6083|Santa Barbara County, CA
10001|Kent County, DE
12009|Brevard County, FL
12033|Escambia County, FL
12037|Franklin County, FL
12075|Levy County, FL
12123|Taylor County, FL
12129|Wakulla County, FL
34001|Atlantic County, NJ
34007|Camden County, NJ
34015|Gloucester County, NJ
34029|Ocean County, NJ
36047|Kings County, NY
44005|Newport County, RI
36059|Nassau County, NY
36081|Queens County, NY
37013|Beaufort County, NC
37031|Carteret County, NC
37053|Currituck County, NC
37091|Hertford County, NC
37137|Pamlico County, NC
22057|Lafourche Parish, LA
22071|Orleans Parish, LA
22075|Plaquemines Parish, LA
22105|Tangipahoa Parish, LA
23023|Sagadahoc County, ME
24003|Anne Arundel County, MD
24019|Dorchester County, MD
24045|Wicomico County, MD
25009|Essex County, MA
24009|Calvert County, MD
34011|Cumberland County, NJ
48007|Aransas County, TX
48039|Brazoria County, TX
48061|Cameron County, TX
48273|Kleberg County, TX
48469|Victoria County, TX
51073|Gloucester County, VA
51093|Isle of Wight County, VA
51103|Lancaster County, VA
51119|Middlesex County, VA
51133|Northumberland County, VA
51159|Richmond County, VA
51179|Stafford County, VA
51181|Surry County, VA
53029|Island County, WA
53035|Kitsap County, WA
53053|Pierce County, WA
53073|Whatcom County, WA
6053|Monterey County, CA
12131|Walton County, FL
23015|Lincoln County, ME
51199|York County, VA
42101|Philadelphia County, PA
48245|Jefferson County, TX
51095|James City County, VA
44007|Providence County, RI
51059|Fairfax County, VA
53055|San Juan County, WA
6041|Marin County, CA
6085|Santa Clara County, CA
24037|St. Mary's County, MD
10005|Sussex County, DE
12089|Nassau County, FL
37019|Brunswick County, NC
48321|Matagorda County, TX
51153|Prince William County, VA
48391|Refugio County, TX
12053|Hernando County, FL
23013|Knox County, ME
6015|Del Norte County, CA
12015|Charlotte County, FL
12071|Lee County, FL
12086|Miami-Dade County, FL
12109|St. Johns County, FL
12115|Sarasota County, FL
13051|Chatham County, GA
22023|Cameron Parish, LA
22087|St. Bernard Parish, LA
23005|Cumberland County, ME
23029|Washington County, ME
24029|Kent County, MD
41057|Tillamook County, OR
24510|Baltimore city, MD
25019|Nantucket County, MA
44001|Bristol County, RI
51115|Mathews County, VA
51710|Norfolk city, VA
6075|San Francisco County, CA
53027|Grays Harbor County, WA
53033|King County, WA
48489|Willacy County, TX
24017|Charles County, MD
24041|Talbot County, MD
25007|Dukes County, MA
36005|Bronx County, NY
36085|Richmond County, NY
12005|Bay County, FL
12029|Dixie County, FL
12081|Manatee County, FL
22089|St. Charles Parish, LA
12087|Monroe County, FL
28059|Jackson County, MS
51650|Hampton city, VA
34017|Hudson County, NJ
41011|Coos County, OR
48355|Nueces County, TX
44003|Kent County, RI
51700|Newport News city, VA
51740|Portsmouth city, VA
51810|Virginia Beach city, VA
53069|Wahkiakum County, WA
6097|Sonoma County, CA
6111|Ventura County, CA
12021|Collier County, FL
12061|Indian River County, FL
12085|Martin County, FL
12091|Okaloosa County, FL
12101|Pasco County, FL
12111|St. Lucie County, FL
22095|St. John the Baptist Parish, LA
24035|Queen Anne's County, MD
37041|Chowan County, NC
28045|Hancock County, MS
28047|Harrison County, MS
37177|Tyrrell County, NC
41009|Columbia County, OR
41041|Lincoln County, OR
25025|Suffolk County, MA
23009|Hancock County, ME
51193|Westmoreland County, VA
51735|Poquoson city, VA
51800|Suffolk city, VA
48201|Harris County, TX
12035|Flagler County, FL
12099|Palm Beach County, FL
